#t x y z vx vy vz
2.049840000000000000e+17 7.373513016069008472e+02 2.400742358880481504e+02 -2.341710338517565049e+02 8.392203459457437020e+01 -5.924132203195480173e-01 -6.876623338751076631e+01
2.081376000000000000e+17 7.458726320192187131e+02 2.399956935308324546e+02 -2.412167871217353650e+02 8.283391554218323449e+01 -9.446009276765081619e-01 -6.911379521296431960e+01
2.112912000000000000e+17 7.542836125104503253e+02 2.398816416284721811e+02 -2.482975834279474157e+02 8.176257063203755138e+01 -1.287307990618730802e+00 -6.945199893349825970e+01
2.144448000000000000e+17 7.625859264489563429e+02 2.397330283194344815e+02 -2.554124868554044667e+02 8.070739381716821015e+01 -1.620941349851072522e+00 -6.978124561500720802e+01
2.175984000000000000e+17 7.707811967765128429e+02 2.395507613778216864e+02 -2.625606012720845115e+02 7.966780864227115444e+01 -1.945883964565318536e+00 -7.010191271396335821e+01
2.207520000000000000e+17 7.788709889368996073e+02 2.393357105739118822e+02 -2.697410680049177927e+02 7.864326637063052772e+01 -2.262496581483302904e+00 -7.041435581707776237e+01
2.239056000000000000e+17 7.868568136203577978e+02 2.390887098618745767e+02 -2.769530636857354580e+02 7.763324425388964301e+01 -2.571119347866997362e+00 -7.071891022767884749e+01
2.270592000000000000e+17 7.947401293378684386e+02 2.388105594097941946e+02 -2.841957982523140913e+02 7.663724393199630924e+01 -2.872073284422337558e+00 -7.101589241443885214e+01
2.302128000000000000e+17 8.025223448379720139e+02 2.385020274856007916e+02 -2.914685130911541364e+02 7.565478995192091816e+01 -3.165661632184294305e+00 -7.130560133627510311e+01
2.333664000000000000e+17 8.102048213777443380e+02 2.381638522111489920e+02 -2.987704793099637754e+02 7.468542839487645324e+01 -3.452171085867675515e+00 -7.158831965568150224e+01
2.365200000000000000e+17 8.177888748585434087e+02 2.377967431954823496e+02 -3.061009961290012598e+02 7.372872560277556886e+01 -3.731872924768058652e+00 -7.186431485137231334e+01
2.396736000000000000e+17 8.252757778362421277e+02 2.374013830572496317e+02 -3.134593893814805483e+02 7.278426699555684820e+01 -4.005024051071893965e+00 -7.213384023991854122e+01
2.428272000000000000e+17 8.326667614148475423e+02 2.369784288452871408e+02 -3.208450101141793880e+02 7.185165597181240571e+01 -4.271867944360235647e+00 -7.239713591500299117e+01
2.459808000000000000e+17 8.399630170316685280e+02 2.365285133655315235e+02 -3.282572332802243977e+02 7.093051288586453040e+01 -4.532635540146385367e+00 -7.265442961199383376e+01
2.491344000000000000e+17 8.471656981415294467e+02 2.360522464216685705e+02 -3.356954565167720830e+02 7.002047409507883913e+01 -4.787546039456557878e+00 -7.290593750472095280e+01
2.522880000000000000e+17 8.542759218069188591e+02 2.355502159762451697e+02 -3.431590990009718780e+02 6.912119107177510102e+01 -5.036807655729664823e+00 -7.315186494061998701e+01
2.554416000000000000e+17 8.612947702004131543e+02 2.350229892383623849e+02 -3.506476003781947384e+02 6.823232957461122794e+01 -5.280618304664712603e+00 -7.339240711977340936e+01
2.585952000000000000e+17 8.682232920252158692e+02 2.344711136835224750e+02 -3.581604197570478618e+02 6.735356887477823307e+01 -5.519166242071146478e+00 -7.362774972281549424e+01
2.617488000000000000e+17 8.750625038591969087e+02 2.338951180107114851e+02 -3.656970347661769551e+02 6.648460103275962751e+01 -5.752630654269403898e+00 -7.385806949216910766e+01
2.649024000000000000e+17 8.818133914274020526e+02 2.332955130413576796e+02 -3.732569406682925433e+02 6.562513022178303856e+01 -5.981182205137760555e+00 -7.408353477063946002e+01
2.680560000000000000e+17 8.884769108076231987e+02 2.326727925644076436e+02 -3.808396495272480138e+02 6.477487209442951155e+01 -6.204983543500316223e+00 -7.430430600099600724e+01
2.712096000000000000e+17 8.950539895732757714e+02 2.320274341314027708e+02 -3.884446894243490647e+02 6.393355318917037522e+01 -6.424189774193542313e+00 -7.452053618982256467e+01
2.743632000000000000e+17 9.015455278775133365e+02 2.313598998051139120e+02 -3.960716037203955011e+02 6.310091037387704205e+01 -6.638948895829976493e+00 -7.473237133860271797e+01
2.775168000000000000e+17 9.079523994822186523e+02 2.306706368649983574e+02 -4.037199503602430468e+02 6.227669032359823831e+01 -6.849402207992779879e+00 -7.493995084472794588e+01
2.806704000000000000e+17 9.142754527352477680e+02 2.299600784724761695e+02 -4.113893012169365875e+02 6.146064903012459268e+01 -7.055684690340011223e+00 -7.514340787486514728e+01
2.838240000000000000e+17 9.205155114990586753e+02 2.292286442987822568e+02 -4.190792414727022788e+02 6.065255134106529766e+01 -7.257925355869120132e+00 -7.534286971289640178e+01
2.869776000000000000e+17 9.266733760336348951e+02 2.284767411179302599e+02 -4.267893690343032063e+02 5.985217052634705936e+01 -7.456247580387303842e+00 -7.553845808444231125e+01
2.901312000000000000e+17 9.327498238364071312e+02 2.277047633671247411e+02 -4.345192939804587127e+02 5.905928787021437643e+01 -7.650769410049314878e+00 -7.573028945979937987e+01
2.932848000000000000e+17 9.387456104416903599e+02 2.269130936767770095e+02 -4.422686380392061665e+02 5.827369228696365155e+01 -7.841603848658759368e+00 -7.591847533695937500e+01
2.964384000000000000e+17 9.446614701819778475e+02 2.261021033721132198e+02 -4.500370340932477689e+02 5.749517995878328236e+01 -8.028859126279801472e+00 -7.610312250623208286e+01
2.995920000000000000e+17 9.504981169132746572e+02 2.252721529482130620e+02 -4.578241257114731866e+02 5.672355399419937072e+01 -8.212638950571724550e+00 -7.628433329786054173e+01
3.027456000000000000e+17 9.562562447065065498e+02 2.244235925201785165e+02 -4.656295667049843132e+02 5.595862410574273582e+01 -8.393042742137380330e+00 -7.646220581389870574e+01
3.058992000000000000e+17 9.619365285069028459e+02 2.235567622500064431e+02 -4.734530207060732891e+02 5.520020630555907815e+01 -8.570165855066811389e+00 -7.663683414551346118e+01
3.090528000000000000e+17 9.675396247631265396e+02 2.226719927516222981e+02 -4.812941607687191095e+02 5.444812261778112372e+01 -8.744099783757986799e+00 -7.680830857677554491e+01
3.122064000000000000e+17 9.730661720278096709e+02 2.217696054754274257e+02 -4.891526689892708646e+02 5.370220080657021811e+01 -8.914932357006611241e+00 -7.697671577591496828e+01
3.153600000000000000e+17 9.785167915310430544e+02 2.208499130736138625e+02 -4.970282361460829179e+02 5.296227411881618252e+01 -9.082747920275336284e+00 -7.714213897493692684e+01
